"Contour","Description des séries","Déviation standard (BQML)","Max (BQML)","Min (BQML)","Moyenne (BQML)","Volume (ml)"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","438,21","13675,99","10420,59","12126,79","12,76"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","309,4","13200,04","10927,15","12133,3","12,76"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","574,42","14069,86","9966,87","12105,77","12,76"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","476,62","13768,41","10279,88","12106,4","12,76"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","320,7","13215,32","10851,87","12110,97","12,76"
"CQ Tumeurs","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G0_000_000_TEP.v 3i 5s","834,6","19716,11","15684,52","17305,26","15,72"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G2_000_000_TEP.v 3i 5s","756,07","19266,89","15811,96","17275,42","15,72"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_3i5s_G4_000_000_TEP.v 3i 5s","594,16","18508,32","14527,85","17087,74","15,72"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G0_000_000_TEP.v 4i 5s","878,51","19980","15367,31","17061,7","15,72"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G2_000_000_TEP.v 4i 5s","795,6","19533,04","15516,95","17054,71","15,72"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_4i5s_G4_000_000_TEP.v 4i 5s","594,95","18445,38","14714,87","16925,03","15,72"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G0_000_000_TEP.v 5i 5s","860,66","20037,32","15016,73","16917,06","15,72"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G2_000_000_TEP.v 5i 5s","776,77","19609,6","15321,76","16925,66","15,72"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_5i5s_G4_000_000_TEP.v 5i 5s","572,51","18348,36","14740,51","16835,35","15,72"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G0_000_000_TEP.v 6i 5s","840,22","20087,59","14792,95","16823,16","15,72"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G2_000_000_TEP.v 6i 5s","754,07","19605,58","15126,32","16842,96","15,72"
"","FANT_ANTHROPO_QUADRA_MESURE_6_20241107_173733-LM-00-PSFTOF_6i5s_G4_000_000_TEP.v 6i 5s","552,18","18273,46","14745,03","16781,01","15,72"
